fips2010,fmr_0,fmr_1,fmr_2,fmr_3,fmr_4,state,metro_code,areaname,county,cousub,countyname,county_town_name,pop2010,acs_2017_2,state_alpha,fmr_type,metro,fmr_pct_chg,fmr_dollar_chg
107399999,692,768,882,1176,1315,1,METRO13820M13820,"Birmingham-Hoover, AL HUD Metro FMR Area",73,99999,Jefferson County,Jefferson County,658466.0,866,AL,40,1,0.0184757505773672,16
107599999,483,523,606,854,857,1,NCNTY01075N01075,"Lamar County, AL",75,99999,Lamar County,Lamar County,14564.0,621,AL,40,0,-0.0241545893719807,-15
107799999,526,529,669,887,1110,1,METRO22520M22520,"Florence-Muscle Shoals, AL MSA",77,99999,Lauderdale County,Lauderdale County,92709.0,673,AL,40,1,-0.00594353640416048,-4
107999999,443,523,669,873,926,1,METRO19460M19460,"Decatur, AL MSA",79,99999,Lawrence County,Lawrence County,34339.0,640,AL,40,1,0.0453125,29
108199999,557,633,827,1107,1339,1,METRO12220M12220,"Auburn-Opelika, AL MSA",81,99999,Lee County,Lee County,140247.0,798,AL,40,1,0.0363408521303258,29
108399999,521,603,717,966,1263,1,METRO26620M26620,"Huntsville, AL MSA",83,99999,Limestone County,Limestone County,82782.0,746,AL,40,1,-0.0388739946380697,-29
108599999,588,691,829,1055,1451,1,METRO33860M33860,"Montgomery, AL MSA",85,99999,Lowndes County,Lowndes County,11299.0,822,AL,40,1,0.00851581508515815,7
108799999,453,456,606,871,1012,1,NCNTY01087N01087,"Macon County, AL",87,99999,Macon County,Macon County,21452.0,621,AL,40,0,-0.0241545893719807,-15
108999999,521,603,717,966,1263,1,METRO26620M26620,"Huntsville, AL MSA",89,99999,Madison County,Madison County,334811.0,746,AL,40,1,-0.0388739946380697,-29
109199999,483,498,606,881,1067,1,NCNTY01091N01091,"Marengo County, AL",91,99999,Marengo County,Marengo County,21027.0,621,AL,40,0,-0.0241545893719807,-15
109399999,453,456,606,804,953,1,NCNTY01093N01093,"Marion County, AL",93,99999,Marion County,Marion County,30776.0,621,AL,40,0,-0.0241545893719807,-15
109599999,468,471,623,845,849,1,NCNTY01095N01095,"Marshall County, AL",95,99999,Marshall County,Marshall County,93019.0,621,AL,40,0,0.00322061191626409,2
109799999,679,683,840,1102,1276,1,METRO33660M33660,"Mobile, AL MSA",97,99999,Mobile County,Mobile County,412992.0,892,AL,40,1,-0.0582959641255605,-52
109999999,483,528,606,774,941,1,NCNTY01099N01099,"Monroe County, AL",99,99999,Monroe County,Monroe County,23068.0,621,AL,40,0,-0.0241545893719807,-15
110199999,588,691,829,1055,1451,1,METRO33860M33860,"Montgomery, AL MSA",101,99999,Montgomery County,Montgomery County,229363.0,822,AL,40,1,0.00851581508515815,7
110399999,443,523,669,873,926,1,METRO19460M19460,"Decatur, AL MSA",103,99999,Morgan County,Morgan County,119490.0,640,AL,40,1,0.0453125,29
110599999,513,528,606,854,857,1,NCNTY01105N01105,"Perry County, AL",105,99999,Perry County,Perry County,10591.0,621,AL,40,0,-0.0241545893719807,-15
110799999,451,456,606,822,825,1,METRO46220N01107,"Pickens County, AL HUD Metro FMR Area",107,99999,Pickens County,Pickens County,19746.0,621,AL,40,1,-0.0241545893719807,-15
110999999,502,505,606,823,825,1,NCNTY01109N01109,"Pike County, AL",109,99999,Pike County,Pike County,32899.0,654,AL,40,0,-0.073394495412844,-48
111199999,452,491,621,887,978,1,NCNTY01111N01111,"Randolph County, AL",111,99999,Randolph County,Randolph County,22913.0,662,AL,40,0,-0.0619335347432024,-41
111399999,621,685,823,1142,1450,1,METRO17980M17980,"Columbus, GA-AL MSA",113,99999,Russell County,Russell County,52947.0,777,AL,40,1,0.0592020592020592,46
111599999,692,768,882,1176,1315,1,METRO13820M13820,"Birmingham-Hoover, AL HUD Metro FMR Area",115,99999,St. Clair County,St. Clair County,83593.0,866,AL,40,1,0.0184757505773672,16
111799999,692,768,882,1176,1315,1,METRO13820M13820,"Birmingham-Hoover, AL HUD Metro FMR Area",117,99999,Shelby County,Shelby County,195085.0,866,AL,40,1,0.0184757505773672,16
111999999,538,541,720,903,981,1,NCNTY01119N01119,"Sumter County, AL",119,99999,Sumter County,Sumter County,13763.0,736,AL,40,0,-0.0217391304347826,-16
112199999,471,474,630,855,878,1,NCNTY01121N01121,"Talladega County, AL",121,99999,Talladega County,Talladega County,82291.0,675,AL,40,0,-0.0666666666666667,-45
112399999,513,526,606,857,974,1,NCNTY01123N01123,"Tallapoosa County, AL",123,99999,Tallapoosa County,Tallapoosa County,41616.0,621,AL,40,0,-0.0241545893719807,-15
112599999,599,660,805,1034,1096,1,METRO46220M46220,"Tuscaloosa, AL HUD Metro FMR Area",125,99999,Tuscaloosa County,Tuscaloosa County,194656.0,782,AL,40,1,0.0294117647058824,23
112799999,502,505,655,828,979,1,METRO13820N01127,"Walker County, AL HUD Metro FMR Area",127,99999,Walker County,Walker County,67023.0,641,AL,40,1,0.0218408736349454,14
112999999,497,497,624,785,882,1,NCNTY01129N01129,"Washington County, AL",129,99999,Washington County,Washington County,17581.0,621,AL,40,0,0.00483091787439614,3
113199999,483,528,606,854,857,1,NCNTY01131N01131,"Wilcox County, AL",131,99999,Wilcox County,Wilcox County,11670.0,621,AL,40,0,-0.0241545893719807,-15
113399999,453,456,606,881,1009,1,NCNTY01133N01133,"Winston County, AL",133,99999,Winston County,Winston County,24484.0,621,AL,40,0,-0.0241545893719807,-15
201399999,751,915,1051,1318,1431,2,NCNTY02013N02013,"Aleutians East Borough, AK",13,99999,Aleutians East Borough,Aleutians East Borough,3141.0,1077,AK,40,0,-0.0241411327762303,-26
201699999,1038,1224,1628,2041,2505,2,NCNTY02016N02016,"Aleutians West Census Area, AK",16,99999,Aleutians West Census Area,Aleutians West Census Area,5561.0,1691,AK,40,0,-0.0372560615020698,-63
202099999,923,1035,1337,1945,2355,2,METRO11260M11260,"Anchorage, AK HUD Metro FMR Area",20,99999,Anchorage Municipality,Anchorage Municipality,291826.0,1293,AK,40,1,0.0340293890177881,44
205099999,1058,1290,1481,1857,2017,2,NCNTY02050N02050,"Bethel Census Area, AK",50,99999,Bethel Census Area,Bethel Census Area,17013.0,1464,AK,40,0,0.0116120218579235,17
206099999,892,949,1248,1610,1700,2,NCNTY02060N02060,"Bristol Bay Borough, AK",60,99999,Bristol Bay Borough,Bristol Bay Borough,997.0,1244,AK,40,0,0.00321543408360129,4
206899999,1042,1130,1458,1840,2244,2,NCNTY02068N02068,"Denali Borough, AK",68,99999,Denali Borough,Denali Borough,1826.0,1579,AK,40,0,-0.0766307789740342,-121
