INSTNM,OPEID,REGION,SAT_AVG_ALL,PCTPELL,PCTFLOAN,ADM_RATE_ALL,UG,AVGFACSAL,COMPL_RPY_5YR_RT,DEBT_MDN,MEDIAN_HH_INC,ICLEVEL,HIGHDEG,CONTROL,WOMENONLY,MENONLY,LOCALE,Tuition,Degree_Type,Ownership,Regions,Locales,Locale_Short
Branford Hall Career Institute-Branford Campus,2074000,1,,0.7439,0.6463,,557.0,,0.413213355,8373,64657.4,3,1,3,0.0,0.0,21.0,21000.0,Certificate,Private for-profit,New England,Suburb: Large,Suburb
Lincoln College of New England-Southington,940700,1,,0.5664,0.7748,,518.0,5141.0,0.67816092,14250,66169.63,1,3,3,0.0,0.0,21.0,25468.0,Bachelors,Private for-profit,New England,Suburb: Large,Suburb
University of Bridgeport,141600,1,926.0,0.4853,0.6994,0.51767865135014,1277.0,7516.0,0.762589928,18250,63241.6,1,4,2,0.0,0.0,12.0,24122.0,Graduate,Private non-profit,New England,City: Midsize,City
Central Connecticut State University,137800,1,1011.0,0.3533,0.5742,0.58669122726226,9443.0,9118.0,0.778489117,16144,75579.11,1,4,1,0.0,0.0,21.0,17291.0,Graduate,Public,New England,Suburb: Large,Suburb
Charter Oak State College,3234300,1,,0.3012,0.3857,,,,0.716049383,11293.5,63157.4,1,3,1,0.0,0.0,21.0,,Bachelors,Public,New England,Suburb: Large,Suburb
Connecticut Center for Massage Therapy-Newington,2316600,1,,0.6395,0.9501,,287.0,,0.632135307,7600,77193.98,3,1,3,0.0,0.0,21.0,20905.0,Certificate,Private for-profit,New England,Suburb: Large,Suburb
Connecticut College,137900,1,,0.1442,0.4073,0.39965264376688,1814.0,9833.0,0.962616822,21401,83703.47,1,4,2,0.0,0.0,13.0,30319.0,Graduate,Private non-profit,New England,City: Small,City
Porter and Chester Institute of Branford,730500,1,,0.6888,0.8636,,171.0,,0.39119171,9500,65494.05,3,1,3,0.0,0.0,21.0,21874.0,Certificate,Private for-profit,New England,Suburb: Large,Suburb
University of Connecticut,141700,1,1233.0,0.212,0.4969,0.53375,13251.0,12269.0,0.910939013,18750,80999.86,1,4,1,0.0,0.0,21.0,20023.0,Graduate,Public,New England,Suburb: Large,Suburb
Goodwin College,2244900,1,,0.5329,0.8275,,418.0,5190.0,0.552521008,13523,60483.49,1,3,2,0.0,0.0,13.0,18687.0,Bachelors,Private non-profit,New England,City: Small,City
Lincoln Technical Institute-East Windsor,730306,1,,0.6379,0.8121,,242.0,,0.426145136,11287,66746.33,3,1,3,0.0,0.0,41.0,15465.0,Certificate,Private for-profit,New England,Rural: Fringe,Rural
Eastern Connecticut State University,142500,1,,0.2967,0.6562,0.6355679702048399,4821.0,8745.0,0.830875123,17000,76020.15,1,4,1,0.0,0.0,31.0,18745.0,Graduate,Public,New England,Town: Fringe,Town
Fairfield University,138500,1,,0.1261,0.5239,0.64967028884554,4173.0,10537.0,0.921296296,24000,93458.99,1,4,2,0.0,0.0,21.0,35893.0,Graduate,Private non-profit,New England,Suburb: Large,Suburb
Paul Mitchell the School-North Haven,2112700,1,,0.455,0.545,,67.0,,0.662857143,9833,71947.25,3,1,3,0.0,0.0,21.0,22910.0,Certificate,Private for-profit,New England,Suburb: Large,Suburb
Capital Community College,763500,1,,0.5794,0.0299,,3042.0,7734.0,0.733333333,4500,49809.92,2,2,1,0.0,0.0,12.0,10079.0,Associates,Public,New England,City: Midsize,City
Rensselaer Hartford Graduate Center Inc,280301,1,1368.0,,,0.4186570527264501,,11610.0,0.970866715,27000,PrivacySuppressed,1,4,2,0.0,0.0,12.0,,Graduate,Private non-profit,New England,City: Midsize,City
American Institute-West Hartford,2106600,1,,0.7,0.6369,,259.0,,0.368088468,8749.5,55594.28,2,1,3,0.0,0.0,13.0,14277.0,Certificate,Private for-profit,New England,City: Small,City
Hartford Seminary,138700,1,,,,,,7037.0,,PrivacySuppressed,,1,4,2,0.0,0.0,12.0,,Graduate,Private non-profit,New England,City: Midsize,City
University of Hartford,142200,1,1050.0,0.2837,0.6757,0.63506261180679,5367.0,7624.0,0.827718961,18709.5,82221.8,1,4,2,0.0,0.0,12.0,29722.0,Graduate,Private non-profit,New England,City: Midsize,City
Holy Apostles College and Seminary,138900,1,,0.2222,0.2639,,68.0,2968.0,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,1,4,2,0.0,0.0,21.0,,Graduate,Private non-profit,New England,Suburb: Large,Suburb
Housatonic Community College,451300,1,,0.4849,0.0428,,3902.0,7222.0,0.568181818,4750,56902.3,2,2,1,0.0,0.0,12.0,4710.0,Associates,Public,New England,City: Midsize,City
Manchester Community College,139200,1,,0.3812,0.02,,5135.0,7869.0,PrivacySuppressed,2750,66292.01,2,2,1,0.0,0.0,21.0,4010.0,Associates,Public,New England,Suburb: Large,Suburb
Naugatuck Valley Community College,698200,1,,0.4248,0.0465,,5116.0,9062.0,0.866666667,3650,63783.19,2,2,1,0.0,0.0,22.0,6299.0,Associates,Public,New England,Suburb: Midsize,Suburb
Middlesex Community College,803800,1,,0.381,0.0476,,2309.0,7826.0,0.611111111,4141,70320.86,2,2,1,0.0,0.0,13.0,4732.0,Associates,Public,New England,City: Small,City
Mitchell College,139300,1,,0.3715,0.6298,0.7369758576874201,621.0,7005.0,0.72392638,16500,79488.12,1,3,2,0.0,0.0,13.0,25815.0,Bachelors,Private non-profit,New England,City: Small,City
Three Rivers Community College,976500,1,,0.4572,0.0634,,3574.0,7666.0,0.827160494,5250,65707.64,2,2,1,0.0,0.0,13.0,4044.0,Associates,Public,New England,City: Small,City
Lincoln Technical Institute-New Britain,730300,1,,0.6779,0.8244,,288.0,,0.426145136,11287,67201.63,3,1,3,0.0,0.0,21.0,19238.0,Certificate,Private for-profit,New England,Suburb: Large,Suburb
New England Tractor Trailer Training School of Connecticut,2202500,1,,0.8617,0.9669,,169.0,,0.42092257,6333,58590,3,1,3,0.0,0.0,21.0,14585.0,Certificate,Private for-profit,New England,Suburb: Large,Suburb
University of New Haven,139700,1,1066.0,0.2579,0.6815,0.8211760327502701,2537.0,9622.0,0.860856269,21500,77310.15,1,4,2,0.0,0.0,21.0,29933.0,Graduate,Private non-profit,New England,Suburb: Large,Suburb
Ridley-Lowell Business & Technical Institute-New London,2112300,1,,0.5434,0.5479,,88.0,,0.377723971,9500,60995.39,3,1,3,0.0,0.0,13.0,18992.0,Certificate,Private for-profit,New England,City: Small,City
Norwalk Community College,139900,1,,0.364,0.0042,,5377.0,8050.0,PrivacySuppressed,3480,79243,2,2,1,0.0,0.0,13.0,7211.0,Associates,Public,New England,City: Small,City
Northwestern Connecticut Community College,139800,1,,0.3259,0.0229,,1596.0,7828.0,PrivacySuppressed,3775,69156.25,2,2,1,0.0,0.0,31.0,5600.0,Associates,Public,New England,Town: Fringe,Town
Paier College of Art Inc,745900,1,,0.3411,0.6434,,282.0,3448.0,0.728813559,15000,76142.06,1,3,3,0.0,0.0,21.0,19525.0,Bachelors,Private for-profit,New England,Suburb: Large,Suburb
Porter and Chester Institute of Stratford,1077900,1,,0.6968,0.8087,,270.0,,0.441112717,9500,66273.98,3,1,3,0.0,0.0,13.0,23263.0,Certificate,Private for-profit,New England,City: Small,City
Post University,140100,1,893.0,0.4857,0.5478,0.81132861307788,1356.0,6109.0,0.72327044,7790.5,67090.63,1,4,3,0.0,0.0,22.0,37101.0,Graduate,Private for-profit,New England,Suburb: Midsize,Suburb
Quinebaug Valley Community College,1053000,1,,0.5167,0.0,,1347.0,8466.0,PrivacySuppressed,PrivacySuppressed,57717.18,2,2,1,0.0,0.0,21.0,6638.0,Associates,Public,New England,Suburb: Large,Suburb
Quinnipiac University,140200,1,1095.0,0.161,0.6048,0.7370850736425502,4843.0,10796.0,0.910278746,22000,87986.1,1,4,2,0.0,0.0,21.0,35653.0,Graduate,Private non-profit,New England,Suburb: Large,Suburb
Sacred Heart University,140300,1,,0.1837,0.6188,0.5896965115023199,4029.0,8667.0,0.871060172,19020.5,87263.76,1,4,2,0.0,0.0,21.0,37928.0,Graduate,Private non-profit,New England,Suburb: Large,Suburb
University of Saint Joseph,140900,1,932.0,0.3566,0.7335,0.92676431424767,1227.0,8002.0,0.857677903,23500,74607,1,4,2,1.0,0.0,13.0,23483.0,Graduate,Private non-profit,New England,City: Small,City
Gateway Community College,803700,1,,0.4655,0.0434,,4157.0,8531.0,0.790123457,3500,58495.06,2,2,1,0.0,0.0,12.0,6834.0,Associates,Public,New England,City: Midsize,City
St Vincent's College,619100,1,905.0,0.269,0.5686,0.8533333333333301,265.0,6081.0,0.769230769,15000,70910.63,1,3,2,0.0,0.0,12.0,14462.0,Bachelors,Private non-profit,New England,City: Midsize,City
Southern Connecticut State University,140600,1,918.0,0.3726,0.6161,0.64600024651793,8080.0,8993.0,0.786266094,15738,74581.97,1,4,1,0.0,0.0,12.0,15240.0,Graduate,Public,New England,City: Midsize,City
Stone Academy-West Haven,1242500,1,,0.7566,0.649,,134.0,,0.387878788,8857,50340.56,3,1,3,0.0,0.0,21.0,17570.0,Certificate,Private for-profit,New England,Suburb: Large,Suburb
Tri-State College of Acupuncture,2546000,2,,,,,,3279.0,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,1,4,3,0.0,0.0,11.0,,Graduate,Private for-profit,Mid East,City: Large,City
Trinity College,141400,1,,0.1006,0.1036,0.33412604042806,2100.0,10336.0,0.88115942,19000,81265.21,1,4,2,0.0,0.0,12.0,30081.0,Graduate,Private non-profit,New England,City: Midsize,City
Tunxis Community College,976400,1,,0.3787,0.0477,,3412.0,8105.0,0.828947368,3500,64301.82,2,2,1,0.0,0.0,21.0,6769.0,Associates,Public,New England,Suburb: Large,Suburb
Wesleyan University,142400,1,,0.1817,0.3354,0.22195072286703,2722.0,11530.0,0.931098697,15788,82041.21,1,4,2,0.0,0.0,13.0,25290.0,Graduate,Private non-profit,New England,City: Small,City
Western Connecticut State University,138000,1,,0.3374,0.5597,0.57287488061127,4881.0,9347.0,0.820351759,16750,85742.06,1,4,1,0.0,0.0,13.0,17564.0,Graduate,Public,New England,City: Small,City
Yale University,142600,1,1498.0,0.1287,0.1039,0.06727080301627,5351.0,16516.0,0.913357401,13000,75345.96,1,4,2,0.0,0.0,12.0,20910.0,Graduate,Private non-profit,New England,City: Midsize,City
Margaret H Rollins School of Nursing at Beebe Medical Center,2125200,2,,0.3333,0.381,,39.0,,PrivacySuppressed,5500,58686.16,2,1,2,0.0,0.0,32.0,,Certificate,Private non-profit,Mid East,Town: Distant,Town
Dawn Career Institute LLC,3025800,2,,0.5853,0.6965,,72.0,,0.277597403,9500,64117.96,3,1,3,0.0,0.0,21.0,19723.0,Certificate,Private for-profit,Mid East,Suburb: Large,Suburb
Delaware Technical Community College-Terry,1172700,2,,0.4124,0.1626,,1958.0,6827.0,0.769230769,3500,60121.66,2,2,1,0.0,0.0,13.0,7421.0,Associates,Public,Mid East,City: Small,City
Delaware State University,142800,2,892.0,0.4715,0.6523,0.44429431273799,2855.0,7202.0,0.541666667,19500,60801.87,1,4,1,0.0,0.0,13.0,16099.0,Graduate,Public,Mid East,City: Small,City
University of Delaware,143100,2,1198.0,0.1398,0.5213,0.66592982597162,16110.0,12188.0,0.890909091,21500,84189.75,1,4,1,0.0,0.0,21.0,15992.0,Graduate,Public,Mid East,Suburb: Large,Suburb
Goldey-Beacom College,142900,2,,0.3417,0.4696,0.44186046511627,1162.0,7529.0,0.776397516,14379,70369.91,1,4,2,0.0,0.0,21.0,14394.0,Graduate,Private non-profit,Mid East,Suburb: Large,Suburb
Schilling-Douglas School of Hair Design LLC,2190400,2,,0.5526,0.6158,,76.0,,0.525423729,7675,72468.65,3,1,3,0.0,0.0,21.0,13737.0,Certificate,Private for-profit,Mid East,Suburb: Large,Suburb
Wesley College,143300,2,836.0,0.5253,0.8657,0.62552456183658,1513.0,7134.0,0.690666667,11000,70367.14,1,4,2,0.0,0.0,13.0,22675.0,Graduate,Private non-profit,Mid East,City: Small,City
Wilmington University,794800,2,,0.3319,0.4694,,3927.0,7643.0,0.624211854,13729,66924.87,1,4,2,0.0,0.0,21.0,15586.0,Graduate,Private non-profit,Mid East,Suburb: Large,Suburb
American University,143400,2,1252.0,0.1714,0.46,0.35016432626232,5701.0,11203.0,0.863348416,20500,81657.17,1,4,2,0.0,0.0,11.0,36480.0,Graduate,Private non-profit,Mid East,City: Large,City
Catholic University of America,143700,2,,0.1316,0.5557,0.78567851777666,2609.0,9742.0,0.876811594,23000,85196.61,1,4,2,0.0,0.0,11.0,35188.0,Graduate,Private non-profit,Mid East,City: Large,City
University of the District of Columbia,144100,2,,0.5315,0.4576,,5008.0,7100.0,0.571428571,10601,51576.54,1,4,1,0.0,0.0,11.0,18201.0,Graduate,Public,Mid East,City: Large,City
Pontifical Faculty of the Immaculate Conception at the Dominican House of Studies,1280300,2,,,,,,3990.0,,PrivacySuppressed,,1,4,2,0.0,0.0,11.0,,Graduate,Private non-profit,Mid East,City: Large,City
Gallaudet University,144300,2,883.0,0.5247,0.42,0.61916461916461,1258.0,9996.0,0.715189873,11850,65746.56,1,4,2,0.0,0.0,11.0,14764.0,Graduate,Private non-profit,Mid East,City: Large,City
George Washington University,144400,2,1294.0,0.1451,0.399,0.46458637898875,8837.0,13364.0,0.910714286,21900,85677.46,1,4,2,0.0,0.0,11.0,33637.0,Graduate,Private non-profit,Mid East,City: Large,City
Georgetown University,144500,2,1416.0,0.126,0.2749,0.17239963035219,6418.0,13979.0,0.924722662,14750,82187.36,1,4,2,0.0,0.0,11.0,30580.0,Graduate,Private non-profit,Mid East,City: Large,City
Howard University,144800,2,1105.0,0.4901,0.8370000000000001,0.49040427356064,6569.0,9092.0,0.489632107,22500,66680.2,1,4,2,0.0,0.0,11.0,24729.0,Graduate,Private non-profit,Mid East,City: Large,City
Strayer University-District of Columbia,145900,2,,0.5175,0.6888,,1213.0,8775.0,0.529604068,9704,66472.61,1,4,3,0.0,0.0,11.0,27322.0,Graduate,Private for-profit,Mid East,City: Large,City
National Conservatory of Dramatic Arts,2132800,2,,0.4359,0.6154,1.0,10.0,,PrivacySuppressed,14250,77779.88,2,1,2,0.0,0.0,11.0,8214.0,Certificate,Private non-profit,Mid East,City: Large,City
Trinity Washington University,146000,2,,0.6848,0.7986,0.94048884165781,895.0,6322.0,0.561497326,17500,60221.46,1,4,2,1.0,0.0,11.0,15921.0,Graduate,Private non-profit,Mid East,City: Large,City
Wesley Theological Seminary,146400,2,,,,,,9399.0,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,1,4,2,0.0,0.0,11.0,,Graduate,Private non-profit,Mid East,City: Large,City
Wyotech-Daytona,2346200,5,,0.6035,0.5374,,422.0,4080.0,0.403679654,10793.5,59867.06,2,2,2,0.0,0.0,41.0,29634.0,Associates,Private non-profit,South East,Rural: Fringe,Rural
The Art Institute of Fort Lauderdale,1019500,5,,0.6209,0.7536,,3145.0,5319.0,0.539651838,16842.5,60908.02,1,3,3,0.0,0.0,12.0,22764.0,Bachelors,Private for-profit,South East,City: Midsize,City
Atlantic Technical College,1226300,5,,0.1123,0.0,,1570.0,,,PrivacySuppressed,53779.01,2,1,1,0.0,0.0,21.0,16618.0,Certificate,Public,South East,Suburb: Large,Suburb
The Baptist College of Florida,2159600,5,946.0,0.6812,0.5983,0.52173913043478,549.0,4834.0,0.641025641,12918,50305.97,1,4,2,0.0,0.0,32.0,9118.0,Graduate,Private non-profit,South East,Town: Distant,Town
Barry University,146600,5,926.0,0.5093,0.6572,0.55059760956175,5777.0,7762.0,0.617627568,21500,58621.88,1,4,2,0.0,0.0,21.0,23635.0,Graduate,Private non-profit,South East,Suburb: Large,Suburb
Bethune-Cookman University,146700,5,,0.772,0.8777,,2745.0,6430.0,0.464135021,18505,50783.25,1,4,2,0.0,0.0,13.0,17092.0,Graduate,Private non-profit,South East,City: Small,City
Lynn University,150500,5,999.0,0.1943,0.496,0.75968169761273,1817.0,5306.0,0.620853081,10000,78627.36,1,4,2,0.0,0.0,13.0,33586.0,Graduate,Private non-profit,South East,City: Small,City
Bradford-Union Technical Center,3382300,5,,0.4085,0.0,,294.0,,,PrivacySuppressed,44824,2,1,1,0.0,0.0,32.0,,Certificate,Public,South East,Town: Distant,Town
Eastern Florida State College,147000,5,,0.4143,0.2311,,13265.0,5981.0,0.560726447,6000,55236.03,1,3,1,0.0,0.0,21.0,6318.0,Bachelors,Public,South East,Suburb: Large,Suburb
Broward College,150000,5,,0.6920000000000001,0.1788,,27389.0,6668.0,0.613891726,4350,58006.93,1,3,1,0.0,0.0,21.0,9436.0,Bachelors,Public,South East,Suburb: Large,Suburb
Carlos Albizu University-Miami,1072401,5,,0.5672,0.7082,0.8207547169811299,103.0,6401.0,0.59437751,7500,45249.81,1,4,2,0.0,0.0,21.0,20511.0,Graduate,Private non-profit,South East,Suburb: Large,Suburb
College of Central Florida,147100,5,,0.5296,0.2568,,5230.0,6148.0,0.536363636,6874,44560.11,1,3,1,0.0,0.0,13.0,6924.0,Bachelors,Public,South East,City: Small,City
Johnson University Florida,349503,5,1009.0,0.5747,0.6968,0.5043478260869501,222.0,6959.0,PrivacySuppressed,14250,59004.31,1,3,2,0.0,0.0,21.0,15850.0,Bachelors,Private non-profit,South East,Suburb: Large,Suburb
University of Central Florida,395400,5,1179.0,0.3858,0.4409,0.48574721691217,28252.0,9257.0,0.74870792,14500,62518.63,1,4,1,0.0,0.0,21.0,14221.0,Graduate,Public,South East,Suburb: Large,Suburb
Charlotte Technical College,2297000,5,,0.5676,0.0,,1276.0,,,PrivacySuppressed,49598.93,2,1,1,0.0,0.0,22.0,10633.0,Certificate,Public,South East,Suburb: Midsize,Suburb
Chipola College,147200,5,,0.399,0.0,,1845.0,5116.0,0.629032258,2700,43641.3,1,3,1,0.0,0.0,32.0,3569.0,Bachelors,Public,South East,Town: Distant,Town
Lorenzo Walker Technical College,1323400,5,,0.2517,0.0,,1607.0,,,PrivacySuppressed,60097,2,1,1,0.0,0.0,21.0,10869.0,Certificate,Public,South East,Suburb: Large,Suburb
Daytona State College,147500,5,,0.494,0.2677,,10420.0,6642.0,0.546052632,6000,49007.53,1,3,1,0.0,0.0,13.0,4986.0,Bachelors,Public,South East,City: Small,City
South University-West Palm Beach,1303904,5,,0.7070000000000001,0.7929999999999999,,381.0,6291.0,0.562656016,9500,55764.27,1,4,3,0.0,0.0,21.0,22671.0,Graduate,Private for-profit,South East,Suburb: Large,Suburb
Eckerd College,148700,5,1134.0,0.2165,0.6855,0.71717401181281,1572.0,6989.0,0.771875,20000,68211.73,1,3,2,0.0,0.0,12.0,31097.0,Bachelors,Private non-profit,South East,City: Midsize,City
Florida SouthWestern State College,147700,5,,0.3717,0.1989,,8919.0,6302.0,0.662092624,4500,56986.99,1,3,1,0.0,0.0,21.0,8958.0,Bachelors,Public,South East,Suburb: Large,Suburb
Edward Waters College,147800,5,781.0,0.816,0.8262,0.5371309275275801,987.0,4892.0,0.304878049,10250,47937.99,1,3,2,0.0,0.0,11.0,11820.0,Bachelors,Private non-profit,South East,City: Large,City
Embry-Riddle Aeronautical University-Daytona Beach,147900,5,,0.2972,0.5263,0.71157469717362,11289.0,9099.0,0.855578371,12710,66671.2,1,4,2,0.0,0.0,13.0,30140.0,Graduate,Private non-profit,South East,City: Small,City
Florida Agricultural and Mechanical University,148000,5,966.0,0.6113,0.6765,0.51406035665294,10707.0,8287.0,0.550653595,23000,52786.24,1,4,1,0.0,0.0,12.0,11679.0,Graduate,Public,South East,City: Midsize,City
Florida Atlantic University,148100,5,1047.0,0.3958,0.3863,0.67678424938474,17496.0,8446.0,0.712536443,12000,63066.25,1,4,1,0.0,0.0,13.0,13427.0,Graduate,Public,South East,City: Small,City
Florida State College at Jacksonville,148400,5,,0.3812,0.5148,,20838.0,6105.0,0.58670741,6250,58396.7,1,3,1,0.0,0.0,11.0,7623.0,Bachelors,Public,South East,City: Large,City
Flagler College-St Augustine,789300,5,1071.0,0.3027,0.6082,0.50475285171102,1830.0,6266.0,0.718829517,15750,63843.09,1,3,2,0.0,0.0,23.0,21426.0,Bachelors,Private non-profit,South East,Suburb: Small,Suburb
Florida College,148200,5,1008.0,0.3387,0.6216,0.8114478114478101,537.0,6993.0,0.893617021,10000,63903.31,1,3,2,0.0,0.0,21.0,21025.0,Bachelors,Private non-profit,South East,Suburb: Large,Suburb
Concorde Career Institute-Jacksonville,2089600,5,,0.3976,0.451,0.68210526315789,276.0,5331.0,0.288632327,9500,52223.78,2,2,3,0.0,0.0,11.0,22156.0,Associates,Private for-profit,South East,City: Large,City
Concorde Career Institute-Miramar,2275100,5,,0.4654,0.5403,0.7220447284345,349.0,4767.0,0.303617571,9500,52053.43,2,2,3,0.0,0.0,21.0,21188.0,Associates,Private for-profit,South East,Suburb: Large,Suburb
Concorde Career Institute-Tampa,2172700,5,,0.3776,0.4474,0.7402597402597401,481.0,4563.0,0.324324324,9500,49900.03,2,2,3,0.0,0.0,11.0,22055.0,Associates,Private for-profit,South East,City: Large,City
Adventist University of Health Sciences,3115500,5,928.0,0.3769,0.6026,0.6031746031746,581.0,7013.0,0.754158965,16436,60028.37,1,4,2,0.0,0.0,12.0,16376.0,Graduate,Private non-profit,South East,City: Midsize,City
Florida Institute of Technology,146900,5,1194.0,0.2167,0.3674,0.57357841556487,2033.0,9302.0,0.885714286,9500,68086.59,1,4,2,0.0,0.0,13.0,28474.0,Graduate,Private non-profit,South East,City: Small,City
Florida Institute of Ultrasound Inc,2329900,5,,0.4789,0.7606,,43.0,,PrivacySuppressed,13099.5,51074.84,2,1,3,0.0,0.0,13.0,,Certificate,Private for-profit,South East,City: Small,City
Florida International University,963500,5,1090.0,0.5526,0.6441,0.50396418244566,26222.0,9923.0,0.729080365,13600,58110.89,1,4,1,0.0,0.0,21.0,12427.0,Graduate,Public,South East,Suburb: Large,Suburb
Florida Keys Community College,148500,5,,0.3048,0.1333,,1625.0,6417.0,0.671875,5500,58311.24,2,2,1,0.0,0.0,33.0,11992.0,Associates,Public,South East,Town: Remote,Town
Florida Memorial University,148600,5,,0.7639,0.7104,0.24348167026073,1985.0,7258.0,0.343949045,19414,48349.61,1,4,2,0.0,0.0,21.0,16811.0,Graduate,Private non-profit,South East,Suburb: Large,Suburb
Florida Career College-Miami,2305800,5,,0.7878,0.8237,,971.0,,0.279273062,9500,51365.45,2,3,3,0.0,0.0,21.0,41569.0,Bachelors,Private for-profit,South East,Suburb: Large,Suburb
Florida School of Massage,4129900,5,,0.6429,0.7429,,,,0.514705882,7073,,3,1,3,0.0,0.0,41.0,15030.0,Certificate,Private for-profit,South East,Rural: Fringe,Rural
Florida Southern College,148800,5,1172.0,0.2878,0.6582,0.45331179321486,2334.0,6809.0,0.712962963,14500,60789.21,1,4,2,0.0,0.0,13.0,24482.0,Graduate,Private non-profit,South East,City: Small,City
Florida State University,148900,5,1215.0,0.3182,0.4591,0.55900496178087,27021.0,10204.0,0.772094529,18600,60914.47,1,4,1,0.0,0.0,12.0,15664.0,Graduate,Public,South East,City: Midsize,City
Florida Technical College,2218700,5,,0.7765,0.7390000000000001,,571.0,3849.0,0.28358209,9500,52602.74,1,3,3,0.0,0.0,21.0,16484.0,Bachelors,Private for-profit,South East,Suburb: Large,Suburb
University of Florida,153500,5,1272.0,0.3029,0.3053,0.47715923182625,32680.0,10955.0,0.759671533,14750,60120.16,1,4,1,0.0,0.0,12.0,12022.0,Graduate,Public,South East,City: Midsize,City
Fort Pierce Beauty Academy,2338400,5,,1.0,0.0,,13.0,,,PrivacySuppressed,49465.29,3,1,3,0.0,0.0,21.0,7808.0,Certificate,Private for-profit,South East,Suburb: Large,Suburb
Full Sail University,2362100,5,,0.5632,0.6016,,1910.0,4286.0,0.590026247,15500,66113.73,1,4,3,0.0,0.0,21.0,35654.0,Graduate,Private for-profit,South East,Suburb: Large,Suburb
George Stone Technical Center,2307400,5,,0.4524,0.0,,537.0,,,PrivacySuppressed,49894.07,2,1,1,0.0,0.0,21.0,6360.0,Certificate,Public,South East,Suburb: Large,Suburb
George T Baker Aviation Technical College,3079800,5,,0.2783,0.0,,133.0,,,PrivacySuppressed,48326.73,2,1,1,0.0,0.0,21.0,2282.0,Certificate,Public,South East,Suburb: Large,Suburb
Gulf Coast State College,149000,5,,0.415,0.1546,,5341.0,5502.0,0.677740864,5354,48565.82,1,3,1,0.0,0.0,13.0,5166.0,Bachelors,Public,South East,City: Small,City
Key College,2325100,5,,0.6102,0.8136,1.0,168.0,5313.0,PrivacySuppressed,9500,52745.07,1,1,3,0.0,0.0,21.0,19110.0,Certificate,Private for-profit,South East,Suburb: Large,Suburb
Hillsborough Community College,787000,5,,0.4389,0.5277,,18497.0,5886.0,0.629032258,5859,56827.04,2,2,1,0.0,0.0,11.0,5831.0,Associates,Public,South East,City: Large,City
Hobe Sound Bible College,2188900,5,,0.5498,0.247,,145.0,1605.0,PrivacySuppressed,6350,50360.1,1,3,2,0.0,0.0,21.0,7227.0,Bachelors,Private non-profit,South East,Suburb: Large,Suburb
Hollywood Institute of Beauty Careers,4162500,5,,0.5805,0.546,,,,PrivacySuppressed,6333,,3,1,3,0.0,0.0,21.0,21284.0,Certificate,Private for-profit,South East,Suburb: Large,Suburb
Cortiva Institute-Florida,2279600,5,,0.67,0.8944,,326.0,,0.494318182,7917,52056.88,3,1,3,0.0,0.0,21.0,22017.0,Certificate,Private for-profit,South East,Suburb: Large,Suburb
Indian River State College,149300,5,,0.4052,0.116,,13186.0,8309.0,0.5,4500,51025.92,1,3,1,0.0,0.0,21.0,2447.0,Bachelors,Public,South East,Suburb: Large,Suburb
Sanford-Brown College-Tampa,3031400,5,,0.6761,0.8146,,1325.0,4713.0,0.444317315,17093,59561.37,1,3,3,0.0,0.0,11.0,,Bachelors,Private for-profit,South East,City: Large,City
International Academy,2257900,5,,0.6506,0.7038,,140.0,,0.296803653,7667,49271.09,3,1,3,0.0,0.0,21.0,16243.0,Certificate,Private for-profit,South East,Suburb: Large,Suburb
AI Miami International University of Art and Design,887800,5,,0.5263,0.6486,,960.0,4845.0,0.499492386,16500,57565.03,1,4,3,0.0,0.0,11.0,22625.0,Graduate,Private for-profit,South East,City: Large,City
Jacksonville University,149500,5,,0.2796,0.4818,0.53510386536944,1814.0,7085.0,0.741157556,14000,63671.93,1,4,2,0.0,0.0,11.0,28422.0,Graduate,Private non-profit,South East,City: Large,City
Keiser University-Ft Lauderdale,2151900,5,,0.6816,0.7607,,536.0,5075.0,0.42339636,14718,55699.66,1,4,2,0.0,0.0,12.0,28870.0,Graduate,Private non-profit,South East,City: Midsize,City
La Belle Beauty School,2287100,5,,0.7215,0.7215,,330.0,,0.764285714,7537,45777.57,3,1,3,0.0,0.0,21.0,10165.0,Certificate,Private for-profit,South East,Suburb: Large,Suburb
Florida Gateway College,150100,5,,0.3613,0.0714,,2143.0,5631.0,PrivacySuppressed,3500,43571.84,1,3,1,0.0,0.0,32.0,3985.0,Bachelors,Public,South East,Town: Distant,Town
Lake Technical College,2228300,5,,0.3388,0.0,,669.0,,,PrivacySuppressed,49899.76,3,1,1,0.0,0.0,22.0,7029.0,Certificate,Public,South East,Suburb: Midsize,Suburb
Lake-Sumter State College,150200,5,,0.3094,0.0468,,2751.0,5085.0,0.638655462,4500,51345.79,1,3,1,0.0,0.0,22.0,4731.0,Bachelors,Public,South East,Suburb: Midsize,Suburb
Fort Myers Technical College,755800,5,,0.2662,0.0,,874.0,,,PrivacySuppressed,50398.8,2,1,1,0.0,0.0,13.0,6914.0,Certificate,Public,South East,City: Small,City
Lively Technical Center,558500,5,,0.5523,0.0,,1010.0,,,PrivacySuppressed,46024.59,3,1,1,0.0,0.0,12.0,8693.0,Certificate,Public,South East,City: Midsize,City
